name,company,title,city,market,website,source_url,source_type,scraped_date
Alex McDermott,Cushman & Wakefield,Executive Managing Director,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,live_roster,2026-07-13
Alex Phillips,Cushman & Wakefield,Senior Director,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,live_roster,2026-07-13
Charlie Gravina,Cushman & Wakefield,Senior Associate,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,live_roster,2026-07-13
Gavin Conlon,Cushman & Wakefield,Senior Associate,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,live_roster,2026-07-13
Jordan McCarley,Cushman & Wakefield,Executive Vice Chair,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,live_roster,2026-07-13
Paul Marley,Cushman & Wakefield,Vice Chair,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,live_roster,2026-07-13
Rhodes Marley,Cushman & Wakefield,Senior Associate,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,live_roster,2026-07-13
Dean Smith,Newmark,"Vice Chairman, Multifamily Capital Markets",Charlotte,Charlotte + Raleigh,https://www.nmrk.com/people/dean-smith,https://www.nmrk.com/people/dean-smith,manual_verified,2026-07-13
Jason Kon,Newmark,"Senior Managing Director, Multifamily Capital Markets",Charlotte,Charlotte + Raleigh,https://www.nmrk.com/people/jason-kon,https://www.nmrk.com/people/jason-kon,manual_verified,2026-07-13
John Heimburger,Newmark,"Vice Chairman, Multifamily Capital Markets",Charlotte,Charlotte + Raleigh,https://www.nmrk.com/people/john-heimburger,https://www.nmrk.com/people/john-heimburger,manual_verified,2026-07-13
John Munroe,Newmark,"Senior Managing Director, Multifamily Capital Markets",Raleigh-Durham,Charlotte + Raleigh,https://www.nmrk.com/people/john-munroe,https://www.nmrk.com/people/john-munroe,manual_verified,2026-07-13
Sean Wood,Newmark,"Vice Chairman, Multifamily Capital Markets",Raleigh-Durham,Charlotte + Raleigh,https://www.nmrk.com/people/sean-wood,https://www.nmrk.com/people/sean-wood,manual_verified,2026-07-13
