name,company,title,city,market,website,source_url,source_type,scraped_date,title_score,market_specialty_score,volume_score,transaction_count_score,recent_activity_score,institutional_score,performance_score,recruiting_score,confidence,priority
Dean Smith,Newmark,"Vice Chairman, Multifamily Capital Markets",Charlotte,Charlotte + Raleigh,https://www.nmrk.com/people/dean-smith,https://www.nmrk.com/people/dean-smith,manual_verified,2026-07-13,5,15,0,0,0,0,0,20,Low,Research
Jason Kon,Newmark,"Senior Managing Director, Multifamily Capital Markets",Charlotte,Charlotte + Raleigh,https://www.nmrk.com/people/jason-kon,https://www.nmrk.com/people/jason-kon,manual_verified,2026-07-13,5,15,0,0,0,0,0,20,Low,Research
John Heimburger,Newmark,"Vice Chairman, Multifamily Capital Markets",Charlotte,Charlotte + Raleigh,https://www.nmrk.com/people/john-heimburger,https://www.nmrk.com/people/john-heimburger,manual_verified,2026-07-13,5,15,0,0,0,0,0,20,Low,Research
John Munroe,Newmark,"Senior Managing Director, Multifamily Capital Markets",Raleigh-Durham,Charlotte + Raleigh,https://www.nmrk.com/people/john-munroe,https://www.nmrk.com/people/john-munroe,manual_verified,2026-07-13,5,15,0,0,0,0,0,20,Low,Research
Sean Wood,Newmark,"Vice Chairman, Multifamily Capital Markets",Raleigh-Durham,Charlotte + Raleigh,https://www.nmrk.com/people/sean-wood,https://www.nmrk.com/people/sean-wood,manual_verified,2026-07-13,5,15,0,0,0,0,0,20,Low,Research
Alex McDermott,Cushman & Wakefield,Executive Managing Director,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,live_roster,2026-07-13,5,10,0,0,0,0,0,15,Low,Research
Jordan McCarley,Cushman & Wakefield,Executive Vice Chair,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,live_roster,2026-07-13,5,10,0,0,0,0,0,15,Low,Research
Paul Marley,Cushman & Wakefield,Vice Chair,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,live_roster,2026-07-13,5,10,0,0,0,0,0,15,Low,Research
Alex Phillips,Cushman & Wakefield,Senior Director,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,live_roster,2026-07-13,3,10,0,0,0,0,0,13,Low,Research
Charlie Gravina,Cushman & Wakefield,Senior Associate,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,live_roster,2026-07-13,1,10,0,0,0,0,0,11,Low,Research
Gavin Conlon,Cushman & Wakefield,Senior Associate,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,live_roster,2026-07-13,1,10,0,0,0,0,0,11,Low,Research
Rhodes Marley,Cushman & Wakefield,Senior Associate,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,live_roster,2026-07-13,1,10,0,0,0,0,0,11,Low,Research
